TAUMOD,FPR_dmod500,TPR_dmod500,FPR_dmod1000,TPR_dmod1000,FPR_dmod4000,TPR_dmod4000,FPR_dmod6000,TPR_dmod6000
0.0,0.0015834512499157739,1.0,0.0015834512499157739,1.0,0.0015834512499157739,1.0,0.0015834512499157739,1.0
5.0,0.0029984502392022103,1.0,0.0029984502392022103,1.0,0.0029984502392022103,1.0,0.0029984502392022103,1.0
10.0,0.005828448217775083,1.0,0.005828448217775083,1.0,0.005828448217775083,1.0,0.005828448217775083,1.0
15.0,0.009197493430361836,1.0,0.009197493430361836,1.0,0.009197493430361836,1.0,0.009197493430361836,1.0
20.0,0.013324573815780607,1.0,0.013324573815780607,1.0,0.013324573815780607,1.0,0.013324573815780607,1.0
25.0,0.017620106461828718,1.0,0.017620106461828718,1.0,0.017620106461828718,1.0,0.017620106461828718,1.0
30.0,0.022858971767401117,1.0,0.022858971767401117,1.0,0.022858971767401117,1.0,0.022858971767401117,1.0
35.0,0.02828313455966579,1.0,0.02828313455966579,1.0,0.02828313455966579,1.0,0.02828313455966579,1.0
40.0,0.03337039283067179,1.0,0.03337039283067179,1.0,0.03337039283067179,1.0,0.03337039283067179,1.0
45.0,0.038137591806482046,1.0,0.038137591806482046,1.0,0.038137591806482046,1.0,0.038137591806482046,1.0
