config,DMOD,ZTHR,TAUMOD,group,TP,FP,TN,FN,TPR,FPR,Precision,F1
En-route baseline (DO-365),4000.0,450.0,35.0,head-on,59,212,19729,0,1.0,0.010631362519432325,0.2177121771217712,0.3575757575757576
En-route baseline (DO-365),4000.0,450.0,35.0,overtaking,398,944,18658,0,1.0,0.04815835118865422,0.2965722801788376,0.45747126436781615
En-route baseline (DO-365),4000.0,450.0,35.0,crossing,179,523,19298,0,1.0,0.026386156097068767,0.254985754985755,0.40635641316685583
"Vincent et al. minimum (HMD=1000ft, tau=15s)",1000.0,450.0,15.0,head-on,59,56,19885,0,1.0,0.002808284439095331,0.5130434782608696,0.6781609195402298
"Vincent et al. minimum (HMD=1000ft, tau=15s)",1000.0,450.0,15.0,overtaking,398,346,19256,0,1.0,0.0176512600755025,0.5349462365591398,0.6970227670753064
"Vincent et al. minimum (HMD=1000ft, tau=15s)",1000.0,450.0,15.0,crossing,179,144,19677,0,1.0,0.007265021946420463,0.5541795665634675,0.7131474103585657
"Vincent et al. maximum (HMD=2000ft, tau=25s)",2000.0,450.0,25.0,head-on,59,117,19824,0,1.0,0.005867308560252746,0.3352272727272727,0.502127659574468
"Vincent et al. maximum (HMD=2000ft, tau=25s)",2000.0,450.0,25.0,overtaking,398,620,18982,0,1.0,0.03162942556881951,0.39096267190569745,0.5621468926553673
"Vincent et al. maximum (HMD=2000ft, tau=25s)",2000.0,450.0,25.0,crossing,179,309,19512,0,1.0,0.015589526260027244,0.3668032786885246,0.5367316341829085
"Below-Vincent comparison (HMD=1000ft, tau=10s)",1000.0,450.0,10.0,head-on,59,37,19904,0,1.0,0.0018554736472594152,0.6145833333333334,0.7612903225806451
"Below-Vincent comparison (HMD=1000ft, tau=10s)",1000.0,450.0,10.0,overtaking,398,216,19386,0,1.0,0.011019283746556474,0.6482084690553745,0.7865612648221344
"Below-Vincent comparison (HMD=1000ft, tau=10s)",1000.0,450.0,10.0,crossing,179,93,19728,0,1.0,0.004691993340396549,0.6580882352941176,0.7937915742793791
