sg_window,sg_order,config,n,TP,FP,TN,FN,FPR,Precision
7,3,En-route baseline (DO-365),6000,63,168,5769,0,0.02829711975745326,0.2727272727272727
7,3,"Vincent et al. minimum (HMD=1000ft, tau=15s)",6000,63,49,5888,0,0.008253326595923868,0.5625
7,3,"Vincent et al. maximum (HMD=2000ft, tau=25s)",6000,63,102,5835,0,0.017180394138453764,0.38181818181818183
7,3,"Below-Vincent comparison (HMD=1000ft, tau=10s)",6000,63,29,5908,0,0.004884621862893717,0.6847826086956522
5,2,En-route baseline (DO-365),6000,62,166,5772,0,0.02795554058605591,0.2719298245614035
5,2,"Vincent et al. minimum (HMD=1000ft, tau=15s)",6000,62,50,5888,0,0.008420343550016841,0.5535714285714286
5,2,"Vincent et al. maximum (HMD=2000ft, tau=25s)",6000,62,102,5836,0,0.017177500842034354,0.3780487804878049
5,2,"Below-Vincent comparison (HMD=1000ft, tau=10s)",6000,62,30,5908,0,0.005052206130010104,0.6739130434782609
11,3,En-route baseline (DO-365),6000,59,168,5773,0,0.0282780676653762,0.2599118942731278
11,3,"Vincent et al. minimum (HMD=1000ft, tau=15s)",6000,59,52,5889,0,0.0087527352297593,0.5315315315315315
11,3,"Vincent et al. maximum (HMD=2000ft, tau=25s)",6000,59,102,5839,0,0.01716882679683555,0.36645962732919257
11,3,"Below-Vincent comparison (HMD=1000ft, tau=10s)",6000,59,32,5909,0,0.0053862986029288,0.6483516483516484
9,4,En-route baseline (DO-365),6000,62,168,5770,0,0.028292354328056584,0.26956521739130435
9,4,"Vincent et al. minimum (HMD=1000ft, tau=15s)",6000,62,50,5888,0,0.008420343550016841,0.5535714285714286
9,4,"Vincent et al. maximum (HMD=2000ft, tau=25s)",6000,62,102,5836,0,0.017177500842034354,0.3780487804878049
9,4,"Below-Vincent comparison (HMD=1000ft, tau=10s)",6000,62,30,5908,0,0.005052206130010104,0.6739130434782609
